number,state,createdAt,mergedAt,closedAt,org,repo,title,additions,deletions,changedFiles,commits,comments,reviews,baseRef,headRef,url
236006,"OPEN","2026-02-24T21:31:18Z","","","ops","k8s-deploy","chore(ais) add conductor/worker to rms-integrations.yaml",2,0,1,1,0,0,"master","aroethe-patch-4","https://git.taservs.net/ops/k8s-deploy/pull/236006"
14947,"OPEN","2026-02-24T21:18:50Z","","","rcom","zeke","chore(ais): delete ibrsubmissionsvc artifacts from zeke",82,14965,107,1,9,0,"master","aroethe/delete-ibrsubmission","https://git.taservs.net/rcom/zeke/pull/14947"
44,"MERGED","2026-02-24T18:09:43Z","2026-02-24T19:29:46Z","2026-02-24T19:29:46Z","rcom","ibrsubmissionsvc","perf: paginate SoftDeleteSubmission to fix OOMKill on large submissions ",464,152,8,1,6,3,"releases/release-2026-01-30","aroethe/pagination-SoftDeleteSubmissions-patch","https://git.taservs.net/rcom/ibrsubmissionsvc/pull/44"
233539,"MERGED","2026-02-20T19:15:02Z","2026-02-20T19:37:44Z","2026-02-20T19:37:44Z","ops","k8s-deploy","Update conductor.yaml",2,4,1,2,1,2,"master","aroethe-patch-4","https://git.taservs.net/ops/k8s-deploy/pull/233539"
42,"MERGED","2026-02-19T22:59:39Z","2026-02-24T18:03:07Z","2026-02-24T18:03:07Z","rcom","ibrsubmissionsvc","perf: paginate SoftDeleteSubmission to fix OOMKill on large submissions",464,152,8,2,8,2,"master","aroethe/pagination-SoftDeleteSubmissions","https://git.taservs.net/rcom/ibrsubmissionsvc/pull/42"
124,"OPEN","2026-02-13T20:59:59Z","","","integrations","autoDLQ","feat: allow backlog -> done status update",260,17,2,1,5,1,"master","aroethe/jira-status-update","https://git.taservs.net/integrations/autoDLQ/pull/124"
647,"MERGED","2026-02-12T21:42:14Z","2026-02-12T22:35:58Z","2026-02-12T22:35:58Z","integrations","conductor","fix(gateway): replace CHANGEME placeholder with templated FQDN",1,1,1,1,5,2,"master","aroethe/conductor-gateway-fix","https://git.taservs.net/integrations/conductor/pull/647"
230460,"MERGED","2026-02-12T21:01:37Z","2026-02-12T21:18:01Z","2026-02-12T21:18:01Z","ops","k8s-deploy","Update conductor.yaml",0,6,1,1,1,1,"master","aroethe-patch-4","https://git.taservs.net/ops/k8s-deploy/pull/230460"
230343,"MERGED","2026-02-12T18:47:48Z","2026-02-12T19:17:41Z","2026-02-12T19:17:41Z","ops","k8s-deploy","Update conductor-worker.yaml",1,1,1,1,1,1,"master","aroethe-patch-4","https://git.taservs.net/ops/k8s-deploy/pull/230343"
229519,"MERGED","2026-02-11T20:16:16Z","2026-02-11T20:18:49Z","2026-02-11T20:18:49Z","ops","k8s-deploy","Update conductor-worker.yaml",0,1,1,1,1,1,"master","aroethe-patch-5","https://git.taservs.net/ops/k8s-deploy/pull/229519"
229511,"MERGED","2026-02-11T20:01:46Z","2026-02-11T20:04:32Z","2026-02-11T20:04:32Z","ops","k8s-deploy","Update conductor-worker.yaml",0,5,1,1,1,1,"master","aroethe-patch-5","https://git.taservs.net/ops/k8s-deploy/pull/229511"
229434,"MERGED","2026-02-11T19:34:58Z","2026-02-11T19:36:58Z","2026-02-11T19:36:58Z","ops","k8s-deploy","Update conductor-worker.yaml",0,6,1,1,1,2,"master","aroethe-patch-5","https://git.taservs.net/ops/k8s-deploy/pull/229434"
229343,"MERGED","2026-02-11T18:07:00Z","2026-02-11T19:04:05Z","2026-02-11T19:04:05Z","ops","k8s-deploy","Update conductor-worker.yaml",1,1,1,1,1,1,"master","aroethe-patch-5","https://git.taservs.net/ops/k8s-deploy/pull/229343"
228538,"MERGED","2026-02-11T00:13:59Z","2026-02-11T00:17:02Z","2026-02-11T00:17:02Z","ops","k8s-deploy","Update conductor-worker.yaml",1,0,1,2,1,1,"master","aroethe-patch-6","https://git.taservs.net/ops/k8s-deploy/pull/228538"
228537,"MERGED","2026-02-11T00:12:29Z","2026-02-11T00:16:46Z","2026-02-11T00:16:46Z","ops","k8s-deploy","Update conductor-worker.yaml",1,0,1,1,1,1,"master","aroethe-patch-5","https://git.taservs.net/ops/k8s-deploy/pull/228537"
228370,"MERGED","2026-02-10T21:26:59Z","2026-02-10T21:42:32Z","2026-02-10T21:42:32Z","ops","k8s-deploy","fix: istio excludeOutboundPorts: ""61619"" for activeMQ",5,0,1,1,1,1,"master","aroethe-patch-5","https://git.taservs.net/ops/k8s-deploy/pull/228370"
228360,"MERGED","2026-02-10T21:23:25Z","2026-02-12T00:22:21Z","2026-02-12T00:22:21Z","ops","k8s-deploy","fix: remove sidecar config",0,4,1,2,4,2,"master","aroethe-patch-4","https://git.taservs.net/ops/k8s-deploy/pull/228360"
